web-scraper-order,web-scraper-start-url,page,title-volunteer,organization,date,place_city,tags
"1684929986-1","https://www.indorelawan.org/o/activity/search","","Menjadi Relawan Inspirasi Anak Indonesia✨","Inspiration Factory Foundation","24 Juni 2023","Kota Administrasi Jakarta Pusat","[{""tags"":""Event""},{""tags"":""Pendidikan""},{""tags"":""Pengembangan Masyarakat""}]"
"1684929986-2","https://www.indorelawan.org/o/activity/search","","Relawan Nenilai","Indorelawan","4 Jun 2023 - 4 Jul 2023","Aktivitas Virtual","[{""tags"":""Project""},{""tags"":""Pusat Informasi dan Kajian""},{""tags"":""Kepemimpinan & Organisasi""}]"
"1684929986-3","https://www.indorelawan.org/o/activity/search","","Relawan Event & Sosmed: PAWAI BEBAS PLASTIK","Indorelawan","8 Jun 2023 - 31 Okt 2023","Aktivitas Virtual","[{""tags"":""Project""},{""tags"":""Lingkungan""},{""tags"":""Hak Asasi Manusia""}]"
"1684929986-4","https://www.indorelawan.org/o/activity/search","","Open Recruitment Volunteer Panda Mobile","Yayasan WWF Indonesia","1 Jul 2023 - 6 Jan 2024","Kota Administrasi Jakarta Selatan","[{""tags"":""Project""},{""tags"":""Pendidikan""},{""tags"":""Lingkungan""}]"
"1684929986-5","https://www.indorelawan.org/o/activity/search","","Pelayanan Kesehatan Gratis di kampung cahaya","BSMI DKI JAKARTA","3 Juni 2023, dst.","Kota Administrasi Jakarta Selatan","[{""tags"":""Event""},{""tags"":""Kesehatan""}]"
"1684929986-6","https://www.indorelawan.org/o/activity/search","","Open Recruitment Creavill Bandung Angkatan 6","Creavill Bandung","18 Jun 2023 - 31 Des 2023","Kota Bandung","[{""tags"":""Project""},{""tags"":""Pengembangan Anak Muda""},{""tags"":""Pengembangan Masyarakat""}]"
"1684929986-7","https://www.indorelawan.org/o/activity/search","","Bantu AKAN ID Jadi Nyata dan Bermakna","AKAN ID","Jumat","Kota Depok","[{""tags"":""Regular""},{""tags"":""Kepemimpinan & Organisasi""},{""tags"":""Pengembangan Masyarakat""}]"
"1684929986-8","https://www.indorelawan.org/o/activity/search","","Open Rekrutmen Member","Bashirah","Minggu","Aktivitas Virtual","[{""tags"":""Regular""},{""tags"":""Pengembangan Anak Muda""},{""tags"":""Kepemimpinan & Organisasi""}]"
"1684929986-9","https://www.indorelawan.org/o/activity/search","","Relawan Tim Official","SOS Children's Villages Indonesia","18 Agu 2023 - 20 Agu 2023","Kota Semarang","[{""tags"":""Project""},{""tags"":""Pendidikan""},{""tags"":""Pengembangan Anak Muda""}]"
"1684929986-10","https://www.indorelawan.org/o/activity/search","","Relawan Tim Digital & Sosmed - Run To Care 2023","SOS Children's Villages Indonesia","18 Agu 2023 - 20 Agu 2023","Kota Semarang","[{""tags"":""Project""},{""tags"":""Pendidikan""},{""tags"":""Pengembangan Anak Muda""}]"
"1684929986-11","https://www.indorelawan.org/o/activity/search","","Relawan Tim Dokumentasi Run To Care 2023","SOS Children's Villages Indonesia","18 Agustus 2023, dst.","Kota Semarang","[{""tags"":""Event""},{""tags"":""Pendidikan""},{""tags"":""Pengembangan Anak Muda""}]"
"1684929986-12","https://www.indorelawan.org/o/activity/search","","Relawan TPN X Jakarta dan Tangerang","Cerita Guru Belajar","23 Juli 2023, dst.","Kota Administrasi Jakarta Timur","[{""tags"":""Event""},{""tags"":""Pendidikan""}]"
"1684929986-13","https://www.indorelawan.org/o/activity/search","","Pertemuan: Membalik Halaman #18","Book Clan","27 Mei 2023","Kota Administrasi Jakarta Pusat","[{""tags"":""Event""},{""tags"":""Pengembangan Anak Muda""},{""tags"":""Pendidikan""}]"
"1684929986-14","https://www.indorelawan.org/o/activity/search","","Relawan TPN X Pekalongan dan Tegal","Cerita Guru Belajar","23 Juli 2023, dst.","Aktivitas Virtual","[{""tags"":""Event""},{""tags"":""Pendidikan""}]"
"1684929986-15","https://www.indorelawan.org/o/activity/search","","Piknik keluarga ASA ke-2 (Go To Museum)","Budaya Mandiri Foundation","10 Jun 2023 - 29 Jul 2023","Kota Administrasi Jakarta Barat","[{""tags"":""Project""},{""tags"":""Difabilitas/Disabilitas""},{""tags"":""Kesetaraan Gender""}]"
"1684929986-16","https://www.indorelawan.org/o/activity/search","","Volunteer Hoshizora Forum #21","Hoshizora Foundation","11 Juni 2023, dst.","Kabupaten Bantul","[{""tags"":""Event""},{""tags"":""Pendidikan""}]"
"1684929986-17","https://www.indorelawan.org/o/activity/search","","Relawan Temu Pendidik Nusantara X Karangasem","Cerita Guru Belajar","23 Juli 2023, dst.","Kabupaten Karangasem","[{""tags"":""Event""},{""tags"":""Pendidikan""}]"
"1684929986-18","https://www.indorelawan.org/o/activity/search","","Call For Weminac Internship","Women and Men Indonesia Center","19 Mei 2023 - 20 Mei 2023","Webinar","[{""tags"":""Project""},{""tags"":""Kesehatan""}]"
"1684929986-19","https://www.indorelawan.org/o/activity/search","","Mentor untuk Remaja Panti (MBMP)","Yayasan Muda Berdaya Bersama","3 Juni 2023, dst.","Kota Administrasi Jakarta Selatan","[{""tags"":""Event""},{""tags"":""Pendidikan""},{""tags"":""Pengembangan Anak Muda""}]"
"1684929986-20","https://www.indorelawan.org/o/activity/search","","Open Recrutment Volunteer Pengurus","Komunitas Diskusi & Kajian Riset (Dikaris)","Jumat","Aktivitas Virtual","[{""tags"":""Regular""},{""tags"":""Pendidikan""},{""tags"":""Sains dan Teknologi""}]"
"1684929986-21","https://www.indorelawan.org/o/activity/search","","Walk In Your Path: Berdamai dengan Keadaan","Manupsia","27 Mei 2023","Webinar","[{""tags"":""Event""},{""tags"":""Kesehatan""},{""tags"":""Pengembangan Anak Muda""}]"
"1684929986-22","https://www.indorelawan.org/o/activity/search","","Relawan Pengajar","Bersama itu Menyenangkan","Minggu","Kabupaten Bekasi","[{""tags"":""Regular""},{""tags"":""Pendidikan""}]"
"1684929986-23","https://www.indorelawan.org/o/activity/search","","Ayo Jadi Fasilitator Kelasuka Bahasa Jawa dan Arab","Ruang Belajar Aqil","Kamis","Aktivitas Virtual","[{""tags"":""Regular""},{""tags"":""Pendidikan""},{""tags"":""Pengembangan Anak Muda""}]"
"1684929986-24","https://www.indorelawan.org/o/activity/search","","OPEN RECRUITMENT MARKAPADA VOL. 2","Markapada","13 Mei 2023 - 3 Jun 2023","Aktivitas Virtual","[{""tags"":""Project""},{""tags"":""Lingkungan""},{""tags"":""Kepemimpinan & Organisasi""}]"
"1684929986-25","https://www.indorelawan.org/o/activity/search","","OPEN RECRUITMENT SUPERYOUTH","Youth For Nation","15 Mei 2023 - 1 Jun 2023","Aktivitas Virtual","[{""tags"":""Project""},{""tags"":""Pendidikan""},{""tags"":""Pengembangan Anak Muda""}]"
