softskill_url,title-softskill,organization,place_city,tags,date_start,date_end
https://www.indorelawan.org/o/activity/search,menjadi relawan inspirasi anak indonesia,Inspiration Factory Foundation,Kota Administrasi Jakarta Pusat,"['', ' Pendidikan', ' Pengembangan Masyarakat']",24 June 2023,24 June 2023
https://www.indorelawan.org/o/activity/search,relawan nenilai,Indorelawan,Aktivitas Virtual,"['Project', ' Pusat Informasidan Kajian', ' Kepemimpinan& Organisasi']",4 June 2023 ,4 June 2023 
https://www.indorelawan.org/o/activity/search,relawan event sosmed pawai bebas plastik,Indorelawan,Aktivitas Virtual,"['Project', ' Lingkungan', ' Hak Asasi Manusia']",8 June 2023 ,8 June 2023 
https://www.indorelawan.org/o/activity/search,open recruitment volunteer panda mobile,Yayasan WWF Indonesia,Kota Administrasi Jakarta Selatan,"['Project', ' Pendidikan', ' Lingkungan']",1 July 2023 ,1 July 2023 
https://www.indorelawan.org/o/activity/search,pelayanan kesehatan gratis di kampung cahaya,BSMI DKI JAKARTA,Kota Administrasi Jakarta Selatan,"['', ' Kesehatan']",3 June 2023,3 June 2023
https://www.indorelawan.org/o/activity/search,open recruitment creavill bandung angkatan,Creavill Bandung,Kota Bandung,"['Project', ' Pengembangan Anak Muda', ' Pengembangan Masyarakat']",18 June 2023 ,18 June 2023 
https://www.indorelawan.org/o/activity/search,relawan tim official,SOS Children's Villages Indonesia,Kota Semarang,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",18 Agu 2023 ,18 Agu 2023 
https://www.indorelawan.org/o/activity/search,relawan tim digital sosmed run to care,SOS Children's Villages Indonesia,Kota Semarang,"['Project', ' Pendidikan', ' Pengembangan Anak Muda']",18 Agu 2023 ,18 Agu 2023 
https://www.indorelawan.org/o/activity/search,relawan tim dokumentasi run to care,SOS Children's Villages Indonesia,Kota Semarang,"['', ' Pendidikan', ' Pengembangan Anak Muda']",18 Augustust 2023,18 Augustust 2023
https://www.indorelawan.org/o/activity/search,relawan tpn jakarta dan tangerang,Cerita Guru Belajar,Kota Administrasi Jakarta Timur,"['', ' Pendidikan']",23 Julyy 2023,23 Julyy 2023
https://www.indorelawan.org/o/activity/search,pertemuan membalik halaman,Book Clan,Kota Administrasi Jakarta Pusat,"['', ' Pengembangan Anak Muda', ' Pendidikan']",27 May 2023,27 May 2023
https://www.indorelawan.org/o/activity/search,relawan tpn pekalongan dan tegal,Cerita Guru Belajar,Aktivitas Virtual,"['', ' Pendidikan']",23 Julyy 2023,23 Julyy 2023
https://www.indorelawan.org/o/activity/search,piknik keluarga asa ke go to museum,Budaya Mandiri Foundation,Kota Administrasi Jakarta Barat,"['Project', ' Difabilitas/ Disabilitas', ' Kesetaraan Gender']",10 June 2023 ,10 June 2023 
https://www.indorelawan.org/o/activity/search,volunteer hoshizora forum,Hoshizora Foundation,Kabupaten Bantul,"['', ' Pendidikan']",11 June 2023,11 June 2023
https://www.indorelawan.org/o/activity/search,relawan temu pendidik nusantara karangasem,Cerita Guru Belajar,Kabupaten Karangasem,"['', ' Pendidikan']",23 Julyy 2023,23 Julyy 2023
https://www.indorelawan.org/o/activity/search,call for weminac internship,Women and Men Indonesia Center,Webinar,"['Project', ' Kesehatan']",19 May 2023 ,19 May 2023 
