softskill_url;title-softskill;organization;place_city;tags;date_start;date_end
https://www.indorelawan.org/o/activity/search;Menjadi Relawan Inspirasi Anak Indonesia?;Inspiration Factory Foundation;Kota Administrasi Jakarta Pusat;['', ' Pendidikan', ' Pengembangan Masyarakat'];24-Jun-23;24-Jun-23
https://www.indorelawan.org/o/activity/search;Relawan Nenilai;Indorelawan;Aktivitas Virtual;['Project', ' Pusat Informasidan Kajian', ' Kepemimpinan& Organisasi'];04-Jun-23;04-Jun-23
https://www.indorelawan.org/o/activity/search;Relawan Event & Sosmed: PAWAI BEBAS PLASTIK;Indorelawan;Aktivitas Virtual;['Project', ' Lingkungan', ' Hak Asasi Manusia'];08-Jun-23;08-Jun-23
https://www.indorelawan.org/o/activity/search;Open Recruitment Volunteer Panda Mobile;Yayasan WWF Indonesia;Kota Administrasi Jakarta Selatan;['Project', ' Pendidikan', ' Lingkungan'];01-Jul-23;01-Jul-23
https://www.indorelawan.org/o/activity/search;Pelayanan Kesehatan Gratis di kampung cahaya;BSMI DKI JAKARTA;Kota Administrasi Jakarta Selatan;['', ' Kesehatan'];03-Jun-23;03-Jun-23
https://www.indorelawan.org/o/activity/search;Open Recruitment Creavill Bandung Angkatan 6;Creavill Bandung;Kota Bandung;['Project', ' Pengembangan Anak Muda', ' Pengembangan Masyarakat'];18-Jun-23;18-Jun-23
https://www.indorelawan.org/o/activity/search;Bantu AKAN ID Jadi Nyata dan Bermakna;AKAN ID;Kota Depok;['Regular', ' Kepemimpinan& Organisasi', ' Pengembangan Masyarakat'];Jumat;Jumat
https://www.indorelawan.org/o/activity/search;Open Rekrutmen Member;Bashirah;Aktivitas Virtual;['Regular', ' Pengembangan Anak Muda', ' Kepemimpinan& Organisasi'];Minggu;Minggu
https://www.indorelawan.org/o/activity/search;Relawan Tim Official;SOS Children's Villages Indonesia;Kota Semarang;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];18 Agu 2023 ;18 Agu 2023 
https://www.indorelawan.org/o/activity/search;Relawan Tim Digital & Sosmed - Run To Care 2023;SOS Children's Villages Indonesia;Kota Semarang;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];18 Agu 2023 ;18 Agu 2023 
https://www.indorelawan.org/o/activity/search;Relawan Tim Dokumentasi Run To Care 2023;SOS Children's Villages Indonesia;Kota Semarang;['', ' Pendidikan', ' Pengembangan Anak Muda'];18-Aug-23;18-Aug-23
https://www.indorelawan.org/o/activity/search;Relawan TPN X Jakarta dan Tangerang;Cerita Guru Belajar;Kota Administrasi Jakarta Timur;['', ' Pendidikan'];23-Jul-23;23-Jul-23
https://www.indorelawan.org/o/activity/search;Pertemuan: Membalik Halaman #18;Book Clan;Kota Administrasi Jakarta Pusat;['', ' Pengembangan Anak Muda', ' Pendidikan'];27-May-23;27-May-23
https://www.indorelawan.org/o/activity/search;Relawan TPN X Pekalongan dan Tegal;Cerita Guru Belajar;Aktivitas Virtual;['', ' Pendidikan'];23-Jul-23;23-Jul-23
https://www.indorelawan.org/o/activity/search;Piknik keluarga ASA ke-2 (Go To Museum);Budaya Mandiri Foundation;Kota Administrasi Jakarta Barat;['Project', ' Difabilitas/ Disabilitas', ' Kesetaraan Gender'];10-Jun-23;10-Jun-23
https://www.indorelawan.org/o/activity/search;Volunteer Hoshizora Forum #21;Hoshizora Foundation;Kabupaten Bantul;['', ' Pendidikan'];11-Jun-23;11-Jun-23
https://www.indorelawan.org/o/activity/search;Relawan Temu Pendidik Nusantara X Karangasem;Cerita Guru Belajar;Kabupaten Karangasem;['', ' Pendidikan'];23-Jul-23;23-Jul-23
https://www.indorelawan.org/o/activity/search;Call For Weminac Internship;Women and Men Indonesia Center;Webinar;['Project', ' Kesehatan'];19-May-23;19-May-23
https://www.indorelawan.org/o/activity/search;Mentor untuk Remaja Panti (MBMP);Yayasan Muda Berdaya Bersama;Kota Administrasi Jakarta Selatan;['', ' Pendidikan', ' Pengembangan Anak Muda'];03-Jun-23;03-Jun-23
https://www.indorelawan.org/o/activity/search;Open Recrutment Volunteer Pengurus;Komunitas Diskusi & Kajian Riset (Dikaris);Aktivitas Virtual;['Regular', ' Pendidikan', ' Sainsdan Teknologi'];Jumat;Jumat
https://www.indorelawan.org/o/activity/search;Walk In Your Path: Berdamai dengan Keadaan;Manupsia;Webinar;['', ' Kesehatan', ' Pengembangan Anak Muda'];27-May-23;27-May-23
https://www.indorelawan.org/o/activity/search;Relawan Pengajar;Bersama itu Menyenangkan;Kabupaten Bekasi;['Regular', ' Pendidikan'];Minggu;Minggu
https://www.indorelawan.org/o/activity/search;Ayo Jadi Fasilitator Kelasuka Bahasa Jawa dan Arab;Ruang Belajar Aqil;Aktivitas Virtual;['Regular', ' Pendidikan', ' Pengembangan Anak Muda'];Kamis;Kamis
https://www.indorelawan.org/o/activity/search;OPEN RECRUITMENT MARKAPADA VOL. 2;Markapada;Aktivitas Virtual;['Project', ' Lingkungan', ' Kepemimpinan& Organisasi'];13-May-23;13-May-23
https://www.indorelawan.org/o/activity/search;OPEN RECRUITMENT SUPERYOUTH;Youth For Nation;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];15-May-23;15-May-23
https://www.indorelawan.org/o/activity/search;Relawan Komunitas Idekonomi;Idekonomi;Aktivitas Virtual;['Regular', ' Pusat Informasidan Kajian', ' Pendidikan'];Sen, Sel, Rab, Kam, Jum, Min;Sen, Sel, Rab, Kam, Jum, Min
https://www.indorelawan.org/o/activity/search;Trainer Nasional PRBencana Angkatan 3;PetaBencana.id;Aktivitas Virtual;['', ' Penanggulangan Bencana', ' Pengembangan Masyarakat'];16-Jun-23;16-Jun-23
https://www.indorelawan.org/o/activity/search;Sébentala Pioneer;Sébentala;Aktivitas Virtual;['Project', ' Lingkungan', ' Pendidikan'];12-Jun-23;12-Jun-23
https://www.indorelawan.org/o/activity/search;Duta Kurangi Risiko Bencana Yayasan Peta Bencana;PetaBencana.id;Aktivitas Virtual;['Project', ' Kepemimpinan& Organisasi', ' Penanggulangan Bencana'];08-May-23;08-May-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - JAKARTA;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - RIAU;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - LAMPUNG;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - SUMATERA SELATAN;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - SUMATERA UTARA;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - KALIMANTAN TIMUR;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - KALIMANTAN BARAT;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - SULAWESI SELATAN;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Sep-23;01-Sep-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - BALI;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Jun-23;01-Jun-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - NUSA TENGGARA BARAT;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Jun-23;01-Jun-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - JAWA TENGAH;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Jun-23;01-Jun-23
https://www.indorelawan.org/o/activity/search;RELAWAN WISH FESTIVAL 3.0 - YOGYAKARTA;Indonesia Scholarship Center;Aktivitas Virtual;['Project', ' Pendidikan', ' Pengembangan Anak Muda'];01-Jun-23;01-Jun-23
